Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Dark Sector,2008,0.22,0.2,0.01,0.05,0.48
Wu-Tang: Shaolin Style,1998,0.27,0.18,0,0.03,0.48
Tiger Woods PGA Tour 07,2006,0.44,0,0,0.04,0.48
Plants vs. Zombies: Garden Warfare 2,2016,0.29,0.15,0,0.04,0.48
Mario Golf: World Tour,2014,0.15,0.13,0.17,0.03,0.48
Secret Weapons Over Normandy,2003,0.24,0.18,0,0.06,0.48
Harvest Moon 64,1999,0.25,0.06,0.11,0.06,0.48
All-Star Baseball 99,1998,0.44,0.04,0,0,0.48
NCAA Football 09,2008,0.4,0.02,0,0.07,0.48
Bratz: The Movie,2007,0.24,0.18,0,0.06,0.48
Crash of the Titans,2007,0.42,0.02,0,0.04,0.48
Dragon Ball: XenoVerse,2015,0.16,0.13,0.14,0.06,0.48
Rayman Raving Rabbids: TV Party,2008,0.44,0.01,0,0.04,0.48
Lollipop Chainsaw,2012,0.31,0.12,0.02,0.04,0.48
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,0.24,0.19,0,0.05,0.48
Vigilante 8: 2nd Offense,1999,0.27,0.18,0,0.03,0.48
The Saboteur,2009,0.2,0.21,0,0.07,0.48
Metal Gear Rising: Revengeance,2013,0.3,0.14,0,0.04,0.48
Atelier Rorona: Alchemist of Arland,2009,0.22,0.1,0.11,0.05,0.48
Theme Park Roller Coaster,2000,0.23,0.18,0,0.06,0.48
Bass Pro Shops: The Strike,2009,0.44,0,0,0.03,0.48
Bakugan Battle Brawlers: Defenders of the Core,2010,0.41,0.02,0.02,0.03,0.48
NFL Xtreme 2,1999,0.27,0.18,0,0.03,0.48
Major League Baseball 2K13,2013,0.44,0,0,0.04,0.48
Scrabble 2007 Edition,2007,0,0.47,0,0,0.48
NHL 16,2015,0.38,0.05,0,0.05,0.48
Midnight Club: Street Racing,2001,0.34,0.13,0,0.01,0.48
Tiger Woods PGA Tour 06,2005,0.35,0.11,0,0.02,0.48
Fortune Street,2011,0.25,0.03,0.17,0.02,0.48
FIFA World Cup Germany 2006,2006,0.19,0.27,0.01,0,0.48
Up,2009,0.19,0.05,0,0.24,0.48
Grand Prix,1981,0.45,0.03,0,0,0.48
Jake Power: Fireman,2008,0.08,0.35,0,0.05,0.48
World of Outlaws: Sprint Cars 2002,2002,0.23,0.18,0,0.06,0.48
Children of Mana,2006,0.16,0.01,0.29,0.01,0.48
Sonic the Hedgehog,N/A,0,0.48,0,0,0.48
Fantavision,2000,0.14,0.11,0.19,0.04,0.47
Double Dragon,1989,0.45,0.02,0,0.01,0.47
Alien Trilogy,1996,0.24,0.16,0.04,0.03,0.47
NBA Live 99,1998,0.45,0.02,0,0,0.47
Karate,N/A,0.44,0.03,0,0,0.47
X-Men: Next Dimension,2002,0.23,0.18,0,0.06,0.47
Go Diego Go! Great Dinosaur Rescue,2008,0.43,0.01,0,0.03,0.47
The Godfather (JP sales),2006,0.39,0.02,0,0.06,0.47
Dynasty Warriors Gundam,2007,0.14,0.01,0.31,0.02,0.47
Doom 3 BFG Edition,2012,0.28,0.15,0,0.04,0.47
Alice in Wonderland,2010,0.25,0.17,0,0.04,0.47
Spider-Man 3,2007,0.42,0.02,0,0.04,0.47
Super Puyo Puyo 2,1995,0,0,0.47,0,0.47
Rock Band 4,2015,0.38,0.04,0,0.05,0.47
Gauntlet Legends,2000,0.26,0.18,0,0.03,0.47
James Bond 007: Blood Stone,2010,0.2,0.23,0,0.05,0.47
WipEout,1995,0.26,0.18,0,0.03,0.47
Street Fighter X Tekken,2012,0.31,0.1,0.03,0.04,0.47
Dark Sector,2008,0.23,0.16,0.01,0.07,0.47
ICO,2001,0.23,0.18,0,0.06,0.47
World of Warcraft: Warlords of Draenor,2014,0.08,0.36,0,0.03,0.47
Ford Racing Off Road,2008,0.06,0.39,0,0.01,0.47
Cars: Race-O-Rama,2009,0.35,0.08,0,0.04,0.47
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,2011,0,0,0.47,0,0.47
Unreal Tournament III,2008,0.25,0.17,0.01,0.05,0.47
FIFA Soccer 13,2012,0.17,0.27,0,0.04,0.47
Victorious Boxers: Ippo's Road to Glory,2000,0.05,0.04,0.38,0.01,0.47
Densetsu no Stafi,2002,0,0,0.46,0.01,0.47
Valkyrie Profile 2: Silmeria,2006,0.04,0.03,0.39,0.01,0.47
Pinball Hall of Fame: The Williams Collection,2008,0.41,0.03,0,0.04,0.47
Hot Wheels Velocity X,2002,0.23,0.18,0,0.06,0.47
MySims Racing,2009,0.19,0.23,0,0.05,0.47
Clash of Elementalists,2010,0,0,0.47,0,0.47
F.E.A.R. 2: Project Origin,2009,0.19,0.2,0.01,0.08,0.47
The Sims 2: Pets,2007,0.41,0.02,0,0.04,0.47
L.A. Rush,2005,0.23,0.18,0,0.06,0.47
Momotarou Dentetsu V,1999,0,0,0.44,0.03,0.47
Doom 64,1997,0.38,0.08,0,0.01,0.47
Bomberman Hero,1998,0.27,0.06,0.08,0.05,0.47
Automobili Lamborghini,1997,0.28,0.17,0,0.01,0.47
Quest 64,1998,0.38,0.08,0,0.01,0.47
Crash: Mind Over Mutant,2008,0.22,0.2,0,0.05,0.47
Viva Pinata: Trouble in Paradise,2008,0.16,0.25,0.01,0.05,0.47
Epic Mickey 2: The Power of Two,2012,0.21,0.18,0,0.08,0.47
Commando,1987,0.44,0.02,0,0,0.47
NBA Ballers: Phenom,2006,0.23,0.18,0,0.06,0.47
Dragon Age Origins: Awakening,2010,0.33,0.1,0,0.04,0.47
Need for Speed Carbon,2006,0.35,0.1,0,0.02,0.47
Shadowrun,2007,0.41,0.02,0,0.04,0.47
Crazy Taxi: Fare Wars,2007,0.1,0.22,0.02,0.12,0.47
MTV Music Generator,1999,0.26,0.18,0,0.03,0.47
"Warhammer 40,000: Dawn of War II",2009,0,0.45,0,0.02,0.47
Hamsterz Life,2006,0.43,0.01,0,0.04,0.47
Emergency Heroes,2008,0.14,0.27,0,0.05,0.47
Super Momotarou Dentetsu DX,1995,0,0,0.47,0,0.47
FlingSmash,2010,0.37,0.01,0.07,0.02,0.47
World Soccer Winning Eleven 8: Liveware Evolution,2005,0,0,0.47,0,0.47
Cars: Race-O-Rama,2009,0.27,0.03,0,0.17,0.47
Downhill Domination,2003,0.23,0.18,0,0.06,0.47
Dead Space Extraction,2009,0.32,0.1,0.01,0.04,0.47
Pirates of the Caribbean: Dead Man's Chest,2006,0.33,0.12,0,0.01,0.47
Silent Hill: Shattered Memories,2009,0.22,0.19,0.01,0.05,0.47
Active Life: Extreme Challenge,2009,0.14,0.27,0,0.06,0.47
FIFA 12,2011,0.04,0.33,0,0.1,0.47
Spider-Man: Friend or Foe,2007,0.43,0,0,0.04,0.47
World Series of Poker,2005,0.39,0.01,0,0.06,0.47
Inazuma Eleven Go 2: Chrono Stone,2012,0,0.01,0.46,0,0.47
NHL 97,1996,0.26,0.18,0,0.03,0.47
Final Fantasy Crystal Chronicles: Echoes of Time,2009,0.12,0.06,0.27,0.02,0.47
Rise of Nightmares,2011,0.28,0.13,0.01,0.04,0.47
EA Sports UFC,2014,0.3,0.12,0,0.04,0.47
Kong: The 8th Wonder of the World,2005,0.33,0.12,0,0.01,0.47
Spider-Man 3,2007,0.41,0.02,0,0.04,0.47
Dead or Alive 4,2005,0.3,0.03,0.1,0.03,0.47
Godzilla: Save the Earth,2004,0.23,0.18,0,0.06,0.47
Dance Dance Revolution: Mario Mix,2005,0.36,0.09,0,0.01,0.47
Metal Gear Solid: The Twin Snakes,2004,0.3,0.08,0.07,0.01,0.47
Tiger Woods PGA Tour 07,N/A,0.43,0,0,0.04,0.47
Art Academy: Lessons for Everyone,2012,0.2,0.04,0.21,0.02,0.46
Mat Hoffman's Pro BMX 2,2002,0.23,0.18,0,0.06,0.46
Metal Gear Solid: The Essential Collection,2007,0.23,0.18,0,0.06,0.46
One Piece: Pirate Warriors 3,2015,0.09,0.22,0.1,0.06,0.46
Iridion 3D,2001,0.33,0.12,0,0.01,0.46
2010 FIFA World Cup South Africa,2010,0.09,0.22,0.03,0.12,0.46
Classic NES Series: Pac-Man,2004,0.25,0.09,0.12,0.01,0.46
Two Worlds II,2011,0.26,0.1,0.06,0.05,0.46
Football Manager 2015,2014,0,0.44,0,0.03,0.46
Destroy All Humans!,2005,0.34,0.11,0,0.02,0.46
Petz Sports,2008,0.42,0.01,0,0.04,0.46
Imagine: Figure Skater (US sales),2007,0.46,0.01,0,0,0.46
SimCity Creator,2008,0.36,0.02,0.04,0.04,0.46
Dragon Ball Z: Collectible Card Game,2002,0.33,0.12,0,0.01,0.46
Circus Atari,N/A,0.43,0.03,0,0,0.46
Harry Potter and the Order of the Phoenix,2007,0.38,0.05,0,0.04,0.46
The Sims 3: Ambitions,2010,0,0.29,0,0.17,0.46
Razor Freestyle Scooter,1999,0.26,0.17,0,0.03,0.46
Disney's Kim Possible 3: Team Possible,2005,0.33,0.12,0,0.01,0.46
Rygar: The Legendary Adventure,2002,0.2,0.15,0.06,0.05,0.46
Syphon Filter: Logan's Shadow,2007,0.25,0.12,0,0.09,0.46
Super Batter Up,1992,0,0,0.46,0,0.46
Kessen II,2001,0.13,0.1,0.2,0.03,0.46
Crayon Shin-Chan: Arashi o Yobu Enji,1993,0,0,0.46,0,0.46
Stuart Little 2,2002,0.33,0.12,0,0.01,0.46
Tak 2: The Staff of Dreams,2004,0.33,0.12,0,0.01,0.46
SingStar Amped,2007,0.23,0.18,0,0.06,0.46
Brothers In Arms: Earned in Blood,2005,0.38,0.01,0,0.06,0.46
The Evil Within,2014,0.25,0.16,0.01,0.04,0.46
Dragon Ball Z: Sagas,2005,0.38,0.01,0,0.06,0.46
Scooby-Doo,2001,0.33,0.12,0,0.01,0.46
MX vs. ATV: Alive,2011,0.24,0.15,0,0.07,0.46
Hydro Thunder,1999,0.26,0.17,0,0.03,0.46
NHL FaceOff '97,1996,0.26,0.17,0,0.03,0.46
Thief (2014),2014,0.26,0.15,0,0.04,0.46
The Walking Dead: Season One,2014,0.12,0.25,0.02,0.07,0.46
NBA Live 07,2006,0.42,0,0,0.04,0.46
Brothers In Arms: Road to Hill 30,2005,0.38,0.01,0,0.06,0.46
The Legend of Spyro: Dawn of the Dragon,2008,0.26,0.15,0,0.05,0.46
Gremlins,1983,0.43,0.03,0,0,0.46
The Mark of Kri,2002,0.22,0.18,0,0.06,0.46
Need for Speed: Hot Pursuit,2010,0.17,0.23,0,0.05,0.46
Jampack Winter 2003 (RP-M),2003,0.22,0.18,0,0.06,0.46
Rugrats: Castle Capers,2001,0.33,0.12,0,0.01,0.46
Crash Nitro Kart,2003,0.33,0.12,0,0.01,0.46
Crayola: Treasure Adventures,2007,0.42,0.01,0,0.03,0.46
LEGO The Hobbit,2014,0.12,0.27,0,0.07,0.46
Silent Hill: Downpour,2012,0.21,0.15,0.04,0.06,0.46
Mega Man Star Force 3: Black Ace / Red Joker,2008,0.22,0,0.22,0.02,0.46
WWE SmackDown vs. Raw 2011,2010,0.29,0.13,0,0.04,0.46
Jak and Daxter: The Lost Frontier,2009,0.22,0.17,0,0.06,0.46
Momotarou Dentetsu 11,2002,0,0,0.46,0,0.46
Disney Infinity 3.0,2015,0.21,0.21,0,0.04,0.46
The Sims 3: Outdoor Living Stuff,2011,0,0.38,0,0.08,0.46
Star Wars: Demolition,2000,0.25,0.17,0,0.03,0.46
Bloody Roar II,1999,0.25,0.17,0,0.03,0.46
Delta Force: Black Hawk Down,2005,0.22,0.17,0,0.06,0.46
The Princess and the Frog,2009,0.29,0.13,0,0.04,0.46
Space Invaders,1994,0,0,0.46,0,0.46
.hack//Outbreak Part 3,2002,0.14,0.11,0.17,0.04,0.46
Mother 1+2,2003,0,0,0.45,0.01,0.46
MX vs. ATV Untamed,2007,0.35,0.06,0,0.05,0.46
Boom Blox Bash Party,2009,0.33,0.09,0,0.04,0.46
Top Spin,2003,0.36,0.08,0,0.02,0.46
Brothers In Arms: D-Day,2006,0.23,0.14,0,0.09,0.46
Warhawk,1995,0.25,0.17,0,0.03,0.46
The Golden Compass,2007,0.3,0.12,0,0.04,0.46
Tomb Raider: Legend,2006,0.09,0.24,0,0.12,0.46
Just Dance 2014,2013,0.3,0.11,0,0.04,0.45
Tales of Vesperia,2009,0,0,0.45,0,0.45
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,0.33,0.12,0,0.01,0.45
Dora The Explorer: Dora Saves the Snow Princess,2008,0.26,0.15,0,0.03,0.45
Missile Command,1999,0.25,0.17,0,0.03,0.45
FIFA 15,2014,0.09,0.34,0,0.03,0.45
Jikkyou Powerful Pro Yakyuu 3,1996,0,0,0.45,0,0.45
Jikkyou Powerful Pro Yakyuu 12,2005,0,0,0.45,0,0.45
Enter the Matrix,2003,0.34,0.09,0.02,0.01,0.45
LEGO The Hobbit,2014,0.2,0.21,0,0.04,0.45
NASCAR 2005: Chase for the Cup,2004,0.34,0.1,0,0.02,0.45
J-League Excite Stage '95,1995,0,0,0.45,0,0.45
Vin Diesel: Wheelman,2009,0.24,0.17,0,0.05,0.45
NHL 15,2014,0.35,0.05,0,0.05,0.45
Phantasy Star Online Episode I & II,2002,0.23,0.06,0.16,0.01,0.45
PlayStation All-Stars Battle Royale,2012,0.21,0.14,0.01,0.09,0.45
The Powerpuff Girls: Relish Rampage,2002,0.22,0.17,0,0.06,0.45
Bleach: The Blade of Fate,2006,0.29,0.01,0.12,0.03,0.45
American Girl: Kit Mystery Challenge!,2008,0.42,0,0,0.03,0.45
Country Dance 2,2011,0.43,0,0,0.03,0.45
The Chronicles of Riddick: Escape from Butcher Bay,N/A,0.32,0.11,0,0.02,0.45
NFL Head Coach,2006,0.38,0.01,0,0.06,0.45
Ghostbusters,1985,0.42,0.03,0,0,0.45
Nickelodeon Team Umizoomi,2011,0.42,0,0,0.03,0.45
NCAA Gamebreaker 99,1998,0.25,0.17,0,0.03,0.45
Tomb Raider: Underworld,2008,0.13,0.27,0,0.05,0.45
Area 51,2005,0.22,0.17,0,0.06,0.45
World Stadium 2,1998,0,0,0.42,0.03,0.45
NHL 2005,2004,0.22,0.17,0,0.06,0.45
The New York Times Crosswords,2007,0.42,0,0,0.03,0.45
Karaoke Revolution Presents American Idol Encore,2008,0.42,0,0,0.03,0.45
Barbie as The Island Princess,2007,0.42,0,0,0.03,0.45
Lego Batman 3: Beyond Gotham,2014,0.21,0.2,0,0.04,0.45
iCarly,2009,0.42,0,0,0.03,0.45
Star Wars Jedi Knight: Jedi Academy,2003,0.34,0.1,0,0.02,0.45
Phoenix,1981,0.42,0.02,0,0,0.45
Dynasty Warriors: Strikeforce,2009,0.03,0.02,0.38,0.02,0.45
Brain Challenge,2008,0.41,0,0,0.03,0.45
Command & Conquer: Red Alert 3,2008,0.18,0.23,0,0.05,0.45
Enemy Territory: Quake Wars,2008,0.3,0.11,0,0.04,0.45
Major League Baseball 2K11,2011,0.4,0.03,0,0.03,0.45
Harvest Moon DS (US sales),2005,0.4,0.05,0,0,0.45
Apocalypse,1998,0.25,0.17,0,0.03,0.45
ATV Offroad Fury Pro,2006,0.37,0.03,0,0.04,0.45
Burnout Dominator,2007,0.02,0.38,0.01,0.05,0.45
Yu-Gi-Oh! Destiny Board Traveler,2004,0.32,0.12,0,0.01,0.45
God Eater 2,2013,0,0,0.45,0,0.45
Scooby-Doo! and the Spooky Swamp,2010,0.29,0.13,0,0.04,0.45
Crash of the Titans,2007,0.39,0.02,0,0.03,0.45
World Soccer Winning Eleven 5 Final Evolution,2001,0,0,0.45,0,0.45
Red Faction: Armageddon,2011,0.2,0.15,0.03,0.07,0.45
Sphinx and the Cursed Mummy,2003,0.22,0.17,0,0.06,0.45
Fatal Fury 2,1993,0,0,0.45,0,0.45
Rampage World Tour,1998,0.36,0.08,0,0.01,0.45
Pokemon Puzzle League,2000,0.36,0.08,0,0.01,0.45
PES 2009: Pro Evolution Soccer,2009,0.09,0.26,0.05,0.05,0.45
Despicable Me: The Game - Minion Mayhem,2010,0.37,0.05,0,0.03,0.45
Lego Batman 3: Beyond Gotham,2014,0.21,0.21,0,0.04,0.45
Tekken Advance,2001,0.32,0.12,0,0.01,0.45
Shin Megami Tensei: Persona 3,2006,0.22,0.03,0,0.2,0.45
Persona,1995,0,0,0.42,0.03,0.45
Hot Wheels: Stunt Track Challenge,2004,0.32,0.12,0,0.01,0.45
My Fashion Studio,2007,0.41,0,0,0.03,0.45
Maze Craze: A Game of Cops 'n Robbers,N/A,0.42,0.02,0,0,0.45
Mobile Suit Gundam,1995,0,0,0.42,0.03,0.45
TNA iMPACT!,2008,0.26,0.15,0,0.04,0.45
Pirates of the Caribbean: At World's End,2007,0.39,0.02,0.01,0.04,0.45
Bee Movie Game,2007,0.41,0,0,0.03,0.45
Sega Rally Revo,2007,0.12,0.28,0,0.05,0.45
SingStar Take That,2009,0,0.06,0,0.39,0.45
Final Fantasy Collection,1999,0,0,0.42,0.03,0.45
Disney Sing It! High School Musical 3: Senior Year,2008,0.09,0.02,0,0.34,0.45
Samurai Warriors: Xtreme Legends,2004,0.04,0.03,0.36,0.01,0.45
LEGO Rock Band,2009,0.32,0.09,0,0.04,0.45
NHL FaceOff,1994,0.25,0.17,0,0.03,0.45
WWE WrestleMania 21,2005,0.34,0.1,0,0.02,0.45
NBA Live 2005,2004,0.35,0.09,0,0.01,0.45
F.E.A.R. 3,2011,0.21,0.16,0.01,0.07,0.45
Defender II,1987,0.42,0.02,0,0,0.45
WWE Day of Reckoning,2004,0.35,0.09,0,0.01,0.45
NBA Live 10,2009,0.4,0.02,0,0.03,0.45
ATV Quad Power Racing 2,2003,0.36,0.07,0,0.01,0.45
Harry Potter and the Deathly Hallows - Part 1,2010,0.21,0.2,0,0.04,0.45
Walt Disney World Quest: Magical Racing Tour,2000,0.25,0.17,0,0.03,0.45
Pro Evolution Soccer 2017,2016,0.02,0.27,0.11,0.05,0.45
Sled Storm,2002,0.22,0.17,0,0.06,0.45
Vandal Hearts,1996,0.14,0.09,0.19,0.03,0.45
Dead or Alive: Dimensions,2011,0.13,0.21,0.07,0.03,0.45
Disney Infinity 3.0,2015,0.16,0.21,0,0.07,0.45
We Sing Encore,2010,0,0.39,0,0.06,0.45
Wolfenstein: The New Order,2014,0.13,0.29,0,0.03,0.45
Deadpool,2013,0.23,0.14,0,0.08,0.45
Jawbreaker,1981,0.42,0.03,0,0,0.45
Scooby-Doo! Mystery Mayhem,2004,0.22,0.17,0,0.06,0.45
Watch Dogs,2014,0.15,0.26,0,0.03,0.45
Mario Golf: Advance Tour,2004,0.32,0.12,0,0.01,0.45
Celebrity Sports Showdown,2008,0.18,0.22,0,0.05,0.45
F.E.A.R. 3,2011,0.3,0.11,0.01,0.04,0.45
Disney Guilty Party,2010,0.42,0,0,0.03,0.45
Silent Hill: Homecoming,N/A,0.25,0.15,0,0.04,0.45
Yu-Gi-Oh! Capsule Monster Coliseum,2004,0.22,0.17,0,0.06,0.44
"Warhammer 40,000: Space Marine",2011,0.13,0.23,0,0.08,0.44
Discovery Kids: Kitten Corner,2009,0.42,0,0,0.03,0.44
Rock Band Country Track Pack,2009,0.41,0,0,0.03,0.44
Major League Baseball 2K6,2006,0.37,0.01,0,0.06,0.44
Brunswick Pro Bowling,2010,0.38,0.04,0,0.03,0.44
Jampack Volume 13 (RP-M),2005,0.37,0.01,0,0.06,0.44
World Soccer Winning Eleven 9,2005,0.06,0.33,0.02,0.03,0.44
NBA Live 2000,1999,0.42,0.02,0,0,0.44
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004,0.22,0.17,0,0.06,0.44
"SpongeBob SquarePants: Lights, Camera, Pants!",2005,0.37,0.01,0,0.06,0.44
The Thing,2002,0.22,0.17,0,0.06,0.44
Van Helsing,2004,0.22,0.17,0,0.06,0.44
Mario Tennis Ultra Smash,2015,0.13,0.15,0.14,0.02,0.44
Virtua Tennis 4,2011,0.09,0.24,0.03,0.08,0.44
X-Men Legends II: Rise of Apocalypse,2005,0.3,0.12,0,0.02,0.44
Naruto Shippuden: Ultimate Ninja Storm Generations,2012,0.26,0.14,0.01,0.04,0.44
Wolfenstein: The New Order,2014,0.14,0.21,0.02,0.07,0.44
Skylanders: Trap Team,2014,0.19,0.18,0,0.07,0.44
Worms: Open Warfare 2,2007,0.04,0.26,0,0.14,0.44
Transformers: Revenge of the Fallen (Wii & PS2 Version),2009,0.26,0.14,0,0.04,0.44
Spawn: Armageddon,2003,0.22,0.17,0,0.06,0.44
The Godfather (US sales),2006,0.33,0.1,0,0.02,0.44
Sid Meier's Civilization Revolution,2008,0.37,0.03,0.02,0.03,0.44
World Stadium EX,1996,0,0,0.41,0.03,0.44
Tiger Woods PGA Tour 2003,2002,0.35,0.08,0,0.01,0.44
Battlefield 2: Modern Combat,2005,0.37,0.01,0,0.06,0.44
50 Cent: Bulletproof,2005,0.33,0.1,0,0.02,0.44
Densetsu no Stafi 2,2003,0,0,0.43,0.01,0.44
Independence Day,1997,0.25,0.17,0,0.03,0.44
Tony Hawk's Proving Ground,2007,0.36,0.04,0,0.04,0.44
Chocobo Racing,1999,0.07,0.05,0.3,0.03,0.44
Disney Infinity 2.0: Marvel Super Heroes,2014,0.25,0.15,0,0.04,0.44
LEGO Star Wars II: The Original Trilogy,2006,0.33,0.1,0,0.02,0.44
Viking: Battle for Asgard,2008,0.16,0.23,0,0.05,0.44
Petz: Catz 2,2007,0.4,0.01,0,0.03,0.44
Dragon Quest Heroes: Rocket Slime,2005,0.13,0,0.31,0.01,0.44
Gundam SEED: Federation vs. Z.A.F.T.,2005,0,0,0.44,0,0.44
Ms. Pac-Man Maze Madness,2000,0.25,0.17,0,0.03,0.44
Blood Omen: Legacy of Kain,1996,0.25,0.17,0,0.03,0.44
Super Bomberman 4,1996,0,0,0.44,0,0.44
Fable,2014,0.25,0.15,0.01,0.04,0.44
Family Fest Presents Circus Games,2008,0.1,0.29,0,0.05,0.44
Dance Dance Revolution: Hottest Party 3,2009,0.26,0.14,0,0.04,0.44
Bomberman II,1991,0.16,0.03,0.15,0.1,0.44
Duke Nukem 64,1997,0.35,0.08,0,0.01,0.44
Transformers: Dark of the Moon - Autobots/Decepticons,2011,0.32,0.08,0,0.03,0.44
The Urbz: Sims in the City (all regions sales),2004,0.4,0.01,0.02,0,0.44
"SpongeBob SquarePants: Lights, Camera, Pants!",2005,0.34,0.09,0,0.01,0.44
Super Robot Taisen OG: Original Generations,2007,0,0,0.44,0,0.44
G-Force,2009,0.19,0.2,0,0.05,0.44
Army Men World War: Final Front,2001,0.24,0.17,0,0.03,0.44
Transformers: Fall of Cybertron,2012,0.28,0.12,0,0.04,0.44
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,2010,0.17,0.13,0.06,0.08,0.44
MX Unleashed,2004,0.34,0.08,0,0.02,0.44
Puppy Luv: Spa and Resort,2007,0.4,0,0,0.03,0.44
Jikkyou Powerful Pro Yakyuu 9,2002,0,0,0.44,0,0.44
Grind Session,2000,0.24,0.17,0,0.03,0.44
Naruto: Gekito Ninja Taisen! 3,2004,0,0,0.43,0.01,0.44
Madden NFL 12,2011,0.41,0,0,0.03,0.44
Wario World,2003,0.34,0.09,0,0.01,0.44
DmC: Devil May Cry,2013,0.26,0.12,0.01,0.04,0.44
Scooby-Doo! Mystery Mayhem,2003,0.31,0.12,0,0.01,0.44
Super Breakout,N/A,0.41,0.03,0,0,0.44
FIFA Soccer 13,2012,0,0.28,0.05,0.11,0.44
The Legend of Spyro: Dawn of the Dragon,2008,0.19,0.18,0,0.07,0.44
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,2003,0,0,0.44,0,0.44
Samurai Warriors 3,2009,0.09,0.02,0.32,0.01,0.44
Ben 10 Alien Force: Vilgax Attacks,2009,0.25,0.14,0,0.04,0.44
TimeSplitters 2,2002,0.34,0.09,0,0.01,0.44
Battlebots: Design & Destroy,2003,0.31,0.12,0,0.01,0.44
Robert Ludlum's The Bourne Conspiracy,N/A,0.26,0.13,0,0.04,0.44
Eternal Darkness: Sanity's Requiem,2002,0.34,0.09,0,0.01,0.44
Food Network: Cook or Be Cooked,2009,0.41,0,0,0.03,0.44
Power Rangers: S.P.D.,2004,0.31,0.12,0,0.01,0.44
Naruto: Ultimate Ninja 3,2005,0.36,0.01,0,0.06,0.44
The Darkness,2007,0.36,0.04,0.01,0.03,0.44
Thrillville: Off the Rails,2007,0.38,0.02,0,0.03,0.44
Jump Start Pet Rescue,2009,0.41,0,0,0.03,0.44
SingStar Motown,2009,0,0.06,0,0.38,0.44
Child of Eden,2011,0.28,0.12,0,0.04,0.44
Neon Genesis Evangelion,1996,0,0,0.44,0,0.44
Mobile Suit Gundam: One Year War,2005,0,0,0.44,0,0.44
Spider-Man: Shattered Dimensions,2010,0.26,0.12,0,0.05,0.44
Tongari Boushi to Mahou no Otana,2010,0,0,0.44,0,0.44
NFL Blitz 20-03,2002,0.21,0.17,0,0.06,0.44
SpongeBob's Atlantis SquarePantis,2007,0.36,0.01,0,0.06,0.44
Eternal Sonata,2008,0.19,0.12,0.07,0.05,0.44
SingStar Queen,2009,0.11,0.25,0,0.07,0.44
Karaoke Revolution,2009,0.24,0.15,0,0.04,0.44
Star Wars: Jedi Starfighter,2002,0.35,0.07,0,0.02,0.44
Walk it Out!,2010,0.35,0.05,0,0.03,0.44
Classic NES Series: Metroid,2004,0.26,0.1,0.07,0.01,0.43
Nicktoons: Attack of the Toybots,2007,0.4,0,0,0.03,0.43
Primal,2003,0.21,0.17,0,0.06,0.43
Need for Speed: Shift 2 Unleashed,2011,0.18,0.21,0,0.04,0.43
Yu-Gi-Oh! 5D's Tag Force 4,2009,0.19,0.07,0.12,0.05,0.43
Ninja Gaiden 3,2012,0.19,0.09,0.11,0.05,0.43
Band Hero,2009,0.2,0.19,0,0.04,0.43
Need for Speed Underground 2,2004,0.31,0.12,0,0.01,0.43
Madden NFL 2002,2001,0.41,0.02,0,0,0.43
007: Quantum of Solace,2008,0.17,0,0,0.26,0.43
Master of Illusion,2006,0.16,0,0.26,0.01,0.43
Spec Ops: Covert Assault,2001,0.24,0.16,0,0.03,0.43
SSX Tricky,2001,0.32,0.09,0,0.02,0.43
Flight Control Rocket,2005,0.31,0.12,0,0.01,0.43
Tetris Axis,2011,0.2,0.13,0.06,0.03,0.43
Borderlands: The Handsome Collection,2015,0.26,0.13,0,0.04,0.43
Sleeping Dogs,2014,0.16,0.2,0,0.07,0.43
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005,0.36,0.01,0,0.06,0.43
NiGHTS into dreams...,1996,0,0,0.43,0,0.43
Star Wars The Clone Wars: Republic Heroes,2009,0.19,0.18,0,0.07,0.43
NCAA Football 2004,2003,0.4,0.02,0,0.02,0.43
Bionicle,2003,0.21,0.17,0,0.06,0.43
Hyrule Warriors,2016,0.17,0.13,0.11,0.03,0.43
DanceStar Party,2011,0,0.34,0,0.1,0.43
Naruto Shippuden: Ultimate Ninja Storm Revolution,2014,0.15,0.14,0.09,0.06,0.43
Naughty Bear,2010,0.18,0.18,0,0.07,0.43
MLB 2002,2001,0.24,0.16,0,0.03,0.43
Deadpool,2013,0.26,0.13,0,0.04,0.43
Lego Batman 3: Beyond Gotham,2014,0.23,0.17,0,0.04,0.43
MLB 14: The Show,2014,0.35,0,0,0.08,0.43
Devil May Cry HD Collection,2012,0.28,0.11,0.01,0.03,0.43
Hyperdimension Neptunia,2010,0.22,0.09,0.07,0.04,0.43
TimeSplitters,2000,0.21,0.17,0,0.06,0.43
Barnstorming,1981,0.4,0.02,0,0,0.43
InuYasha: The Secret of the Cursed Mask,2004,0.21,0.17,0,0.06,0.43
